Id,Nom,Type,Taille,Alignement,CA,PV,Force,Dexterite,Constitution,Intelligence,Sagesse,Charisme,Competences,Jets de sauvegarde,Immunités aux dégâts,Résistances aux dégâts,Immunités aux états,Sens,Langues,FP
360,Sanglier géant,Bête , G, sans alignement, 12 (armure naturelle),42 (5d10 + 15),17 (+3),10 (+0),16 (+3),2 (-4),7 (-2),5 (-3),,,,,, Perception passive 8, —, 2 (450 PX)
361,Sanglier-garou,"Humanoïde (humain, métamorphe) ", M, neutre mauvais," 10 sous forme humanoïde, 11 (armure naturelle) sous forme de sanglier ou sous forme hybride",78 (12d8 + 24),17 (+3),10 (+0),15 (+2),10 (+0),11 (+0),8 (-1), Perception +2,," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent",,, Perception passive 12, commun (ne peut pas parler sous forme de sanglier), 4 (1100 PX)
362,Satyre,Fée , M, chaotique neutre, 14 (armure de cuir),31 (7d8),12 (+1),16 (+3),11 (+0),12 (+1),10 (+0),14 (+2)," Discrétion +5, Perception +2, Représentation +6",,,,, Perception passive 12," commun, elfique, sylvestre", 1/2 (100 PX)
363,Scarabée de feu géant,Bête , P, sans alignement, 13 (armure naturelle),4 (1d6 + 1),8 (-1),10 (+0),12 (+1),1 (-5),7 (-2),3 (-4),,,,,," vision aveugle 9 m, Perception passive 8", —, 0 (10 PX)
364,Scorpion,Bête , TP, sans alignement, 11 (armure naturelle),1 (1d4 - 1),2 (-4),11 (+0),8 (-1),1 (-5),8 (-1),2 (-4),,,,,," vision aveugle 3 m, Perception passive 9", —, 0 (10 PX)
365,Scorpion géant,Bête , G, sans alignement, 15 (armure naturelle),52 (7d10 + 14),15 (+2),13 (+1),15 (+2),1 (-5),9 (-1),3 (-4),,,,,," vision aveugle 18 m, Perception passive 9", —, 3 (700 PX)
366,Seigneur momie,Mort-vivant , M, loyal mauvais, 17 (armure naturelle),97 (13d8 + 39),18 (+4),10 (+0),17 (+3),11 (+0),18 (+4),16 (+3)," Histoire +5, Religion +5"," Con +8, Int +5, Sag +9, Cha +8"," nécrotique, poison ; contondant, perforant et tranchant d'attaques non magiques",," charmé, épuisement, effrayé, paralysé, empoisonné"," vision dans le noir 18 m, Perception passive 14", les langues qu'il connaissait de son vivant, 15 (13000 PX)
367,Sentinelle d'eau,Élémentaire , G, neutre, 13,58 (9d10 + 9),17 (+3),16 (+3),13 (+1),11 (+0),10 (+0),10 (+0),,, poison," feu ; contondant, perforant et tranchant d'attaques non magiques"," épuisement, agrippé, paralysé, empoisonné, entravé, à terre, inconscient"," vision aveugle 9 m, Perception passive 10", comprend l'aquatique mais ne peut pas parler, 3 (700 PX)
368,Serpent constricteur,Bête , G, sans alignement, 12,13 (2d10 + 2),15 (+2),14 (+2),12 (+1),1 (-5),10 (+0),3 (-4),,,,,," vision aveugle 3 m, Perception passive 10", —, 1/4 (50 PX)
369,Serpent constricteur géant,Bête , TG, sans alignement, 12,60 (8d12 + 8),19 (+4),14 (+2),12 (+1),1 (-5),10 (+0),3 (-4), Perception +2,,,,," vision aveugle 3 m, Perception passive 12", —, 2 (450 PX)
370,Serpent de feu,Élémentaire , M, neutre mauvais, 14 (armure naturelle),22 (5d8),12 (+1),14 (+2),11 (+0),7 (-2),10 (+0),8 (-1),,, feu," contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 10", comprend l'igné mais ne peut pas parler, 1 (200 PX)
371,Serpent venimeux,Bête , TP, sans alignement, 13,2 (1d4),2 (-4),16 (+3),11 (+0),1 (-5),10 (+0),3 (-4),,,,,," vision aveugle 3 m, Perception passive 10", —, 1/8 (25 PX)
372,Serpent venimeux géant,Bête , M, sans alignement, 14,11 (2d8 + 2),10 (+0),18 (+4),13 (+1),2 (-4),10 (+0),3 (-4), Perception +2,,,,," vision aveugle 3 m, Perception passive 12", —, 1/4 (50 PX)
373,Serpent volant,Bête , TP, sans alignement, 14,5 (2d4),4 (-3),18 (+4),11 (+0),2 (-4),12 (+1),5 (-3),,,,,," vision aveugle 3 m, Perception passive 11", —, 1/8 (25 PX)
374,Singe géant,Bête , TG, sans alignement, 12,157 (15d12 + 60),23 (+6),14 (+2),18 (+4),7 (-2),12 (+1),7 (-2)," Athlétisme +9, Perception +4",,,,, Perception passive 14, —, 7 (2900 PX)
375,Slaad bleu,Aberration , G, chaotique neutre, 15 (armure naturelle),123 (13d10 + 52),20 (+5),15 (+2),18 (+4),7 (-2),7 (-2),9 (-1), Perception +1,,," acide, froid, feu, foudre, tonnerre",," vision dans le noir 18 m, Perception passive 11"," slaad, télépathie 18 m", 7 (2900 PX)
376,Slaad funeste,Aberration (métamorphe) , M, chaotique mauvais, 18 (armure naturelle),170 (20d8 + 80),20 (+5),15 (+2),19 (+4),15 (+2),10 (+0),16 (+3)," Arcanes + 6, Perception +8",,," acide, froid, feu, foudre, tonnerre",," vision aveugle 18 m, vision dans le noir 18 m, Perception passive 18"," slaad, télépathie 18 m", 10 (5900 PX)
377,Slaad gris,Aberration (métamorphe) , M, chaotique neutre, 18 (armure naturelle),127 (17d8 + 51),17 (+3),17 (+3),16 (+3),13 (+1),8 (-1),14 (+2)," Arcanes + 5, Perception +7",,," acide, froid, feu, foudre, tonnerre",," vision aveugle 18 m, vision dans le noir 18 m, Perception passive 17"," slaad, télépathie 18 m", 9 (5000 PX)
378,Slaad rouge,Aberration , G, chaotique neutre, 14 (armure naturelle),93 (11d10 + 33),16 (+3),12 (+1),16 (+3),6 (-2),6 (-2),7 (-2), Perception +1,,," acide, froid, feu, foudre, tonnerre",," vision dans le noir 18 m, Perception passive 11"," slaad, télépathie 18 m", 5 (1800 PX)
379,Slaad vert,Aberration (métamorphe) , G, chaotique neutre, 16 (armure naturelle),127 (15d10 + 45),18 (+4),15 (+2),16 (+3),11 (+0),8 (-1),12 (+1)," Arcanes + 3, Perception +2",,," acide, froid, feu, foudre, tonnerre",," vision aveugle 9 m, vision dans le noir 18 m, Perception passive 12"," slaad, télépathie 18 m", 8 (3900 PX)
380,"Slaad, têtard",Aberration , TP, chaotique neutre, 12,10 (4d4),7 (-2),15 (+2),10 (+0),3 (-4),5 (-3),3 (-4), Discrétion +4,,," acide, froid, feu, foudre, tonnerre",," vision dans le noir 18 m, Perception passive 7", comprend le slaad mais ne peut pas parler, 1/8 (25 PX)
381,Solar,Céleste , G, loyal bon, 21 (armure naturelle),243 (18d10 + 144),26 (+8),22 (+6),26 (+8),25 (+7),25 (+7),30 (+10), Perception +14," Int +14, Sag +14, Cha +17"," nécrotique, poison"," radiant ; contondant, perforant et tranchant d'attaques non magiques"," charmé, effrayé, empoisonné, épuisement"," vision véritable 36 m, Perception passive 24"," toutes, télépathie 36 m", 21 (33000 PX)
382,Spectateur,Aberration , M, loyal neutre, 14 (armure naturelle),39 (6d8 + 12),8 (-1),14 (+2),14 (+2),13 (+1),14 (+2),11 (+0), Perception +6,,,, À terre," vision dans le noir 36 m, Perception passive 16"," profond, commun des profondeurs, télépathie 36 m", 3 (700 PX)
383,Spectre,Mort-vivant , M, chaotique mauvais, 12,22 (5d8),1 (-5),14 (+2),11 (+0),10 (+0),10 (+0),11 (+0),,," nécrotique, poison"," acide, froid, feu, foudre, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," charmé, épuisement, entravé, paralysé, pétrifié, empoisonné, à terre, agrippé, inconscient"," vision dans le noir 18 m, Perception passive 10", comprend les langues qu'il connaissait de son vivant mais ne peut pas parler, 1 (200 PX)
384,Spore gazeuse,Plante , G, sans alignement, 5,1 (1d10 - 4),5 (-3),1 (-5),3 (-4),1 (-5),1 (-5),1 (-5),,, poison,," aveuglé, assourdi, effrayé, paralysé, empoisonné, à terre"," vision aveugle 9 m (aveugle au-delà de ce rayon), Perception passive 5", —, 1/2 (100 PX)
385,Squelette,Mort-vivant , M, loyal mauvais, 13 (restes d'armure),13 (2d8 + 4),10 (+0),14 (+2),15 (+2),6 (-2),8 (-1),5 (-3),,, poison,," épuisement, empoisonné"," vision dans le noir 18 m, Perception passive 9", comprend les langues qu'il connaissait de son vivant mais ne peut pas parler, 1/4 (50 PX)
386,Squelette de cheval de guerre,Mort-vivant , G, loyal mauvais, 13 (restes de caparaçonnage),22 (3d10 + 6),18 (+4),12 (+1),15 (+2),2 (-4),8 (-1),5 (-3),,, poison,," épuisement, empoisonné"," vision dans le noir 18 m, Perception passive 9", —, 1/2 (100 PX)
387,Squelette de minotaure,Mort-vivant , G, loyal mauvais, 12 (armure naturelle),67 (9d10 + 18),18 (+4),11 (+0),15 (+2),6 (-2),8 (-1),5 (-3),,, poison,," épuisement, empoisonné"," vision dans le noir 18 m, Perception passive 9", comprend l'abyssal mais ne peut pas parler, 2 (450 PX)
388,Strige,Bête , TP, sans alignement, 14 (armure naturelle),2 (1d4),4 (-3),16 (+3),11 (+0),2 (-4),8 (-1),6 (-2),,,,,," vision dans le noir 18 m, Perception passive 9", —, 1/8 (25 PX)
389,Succube,Fiélon (métamorphe) , M, neutre mauvais, 15 (armure naturelle),66 (12d8 + 12),8 (-1),17 (+3),13 (+1),15 (+2),12 (+1),20 (+5)," Discrétion +7, Intuition +5, Perception +5, Persuasion +9, Tromperie +9",,," froid, feu, foudre, poison ; contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 15"," abyssal, commun, infernal, télépathie 18 m", 4 (1100 PX)
390,Sylvanien,Plante , TG, chaotique bon, 16 (armure naturelle),138 (12d12 + 60),23 (+6),8 (-1),21 (+5),12 (+1),16 (+3),12 (+1),,,," contondant, perforant",, Perception passive 13," commun, druidique, elfique, sylvestre", 9 (5000 PX)
391,Tapis étouffant,Artificiel , G, sans alignement, 12,33 (6d10),17 (+3),14 (+2),10 (+0),1 (-5),3 (-4),1 (-5),,," poison, psychique",," aveuglé, charmé, assourdi, effrayé, paralysé, pétrifié, empoisonné"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 6", —, 2 (450 PX)
392,Tarasque,Monstruosité (titan) , Gig, sans alignement, 25 (armure naturelle),676 (33d20 + 330),30 (+10),11 (+0),30 (+10),3 (-4),11 (+0),11 (+0),," Int +5, Sag +9, Cha +9"," feu, poison ; contondant, perforant et tranchant d'attaques non magiques",," charmé, effrayé, empoisonné, paralysé"," vision aveugle 36 m, Perception passive 10", —, 30 (155000 PX)
393,Tertre errant,Plante , G, sans alignement, 15 (armure naturelle),136 (16d10 + 48),18 (+4),8 (-1),16 (+3),5 (-3),10 (+0),5 (-3), Discrétion +2,, foudre," froid, feu"," aveuglé, assourdi, épuisement"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 10", —, 5 (1800 PX)
394,Thri-kreen,Humanoïde (thri-kreen) , M, chaotique neutre, 15 (armure naturelle),33 (6d8 + 6),12 (+1),15 (+2),13 (+1),8 (-1),12 (+1),7 (-2)," Discrétion +4, Perception +3, Survie +3",,,,," vision dans le noir 18 m, Perception passive 13", thri-kreen, 1 (200 PX)
395,Tigre,Bête , G, sans alignement, 12,37 (5d10 + 10),17 (+3),15 (+2),14 (+2),3 (-4),12 (+1),8 (-1)," Discrétion +6, Perception +3",,,,," vision dans le noir 18 m, Perception passive 13", —, 1 (200 PX)
396,Tigre à dents de sabre,Bête , G, sans alignement, 12,52 (7d10 + 14),18 (+4),14 (+2),15 (+2),3 (-4),12 (+1),8 (-1)," Discrétion +6, Perception +3",,,,, Perception passive 13, —, 2 (450 PX)
397,Tigre-garou,"Humanoïde (humain, métamorphe) ", M, neutre, 12,120 (16d8 + 48),17 (+3),15 (+2),16 (+3),10 (+0),13 (+1),11 (+0)," Discrétion +4, Perception +5",," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent",,," vision dans le noir 18 m, Perception passive 15", commun (ne peut pas parler sous forme de tigre), 4 (1100 PX)
398,Torve,Humanoïde (torve) , M, neutre mauvais, 11,11 (2d8 + 2),16 (+3),12 (+1),12 (+1),9 (-1),8 (-1),6 (-2)," Athlétisme +5, Discrétion +3, Perception +3",,,, aveuglé," vision aveugle 9 m ou 3 m tant qu'il est assourdi (aveugle au-delà de ce rayon), Perception passive 13", commun des profondeurs, 1/4 (50 PX)
399,Traqueur invisible,Élémentaire , M, neutre, 14,104 (16d8 + 32),16 (+3),19 (+4),14 (+2),10 (+0),15 (+2),11 (+0)," Discrétion +10, Perception +8",, poison," contondant, perforant et tranchant d'attaques non magiques"," épuisement, agrippé, paralysé, pétrifié, empoisonné, à terre, entravé, inconscient"," vision dans le noir 18 m, Perception passive 18"," aérien, comprend le commun mais ne peut pas parler", 6 (2300 PX)
400,Tricératops,Bête , TG, sans alignement, 13 (armure naturelle),95 (10d12 + 30),22 (+6),9 (-1),17 (+3),2 (-4),11 (+0),5 (-3),,,,,, Perception passive 10, —, 5 (1800 PX)
401,Tridrone,Artificiel , M, loyal neutre, 15 (armure naturelle),16 (3d8 + 3),12 (+1),13 (+1),12 (+1),9 (-1),10 (+0),9 (-1),,,,,," vision véritable 36 m, Perception passive 10", modron, 1/2 (100 PX)
402,Troglodyte,Humanoïde (troglodyte) , M, chaotique mauvais, 11 (armure naturelle),13 (2d8 + 4),14 (+2),10 (+0),14 (+2),6 (-2),10 (+0),6 (-2), Discrétion +2,,,,," vision dans le noir 18 m, Perception passive 10", troglodyte, 1/4 (50 PX)
403,Troll,Géant , G, chaotique mauvais, 15 (armure naturelle),84 (8d10 + 40),18 (+4),13 (+1),20 (+5),7 (-2),9 (-1),7 (-2), Perception +2,,,,," vision dans le noir 18 m, Perception passive 12", géant, 5 (1800 PX)
404,Tyramort,Mort-vivant , G, loyal mauvais, 19 (armure naturelle),187 (25d10 + 50),10 (+0),14 (+2),14 (+2),19 (+4),15 (+2),19 (+4), Perception +12," For +5, Con +7, Int +9, Sag +7, Cha +9", poison,," charmé, épuisement, paralysé, pétrifié, empoisonné, à terre"," vision dans le noir 36 m, Perception passive 22"," profond, commun des profondeurs", 14 (11500 PX)
405,Tyrannoeil,Aberration , G, loyal mauvais, 18 (armure naturelle),180 (19d10 + 76),10 (+0),14 (+2),18 (+4),17 (+3),15 (+2),17 (+3), Perception +12," Int +8, Sag +7, Cha +8",,, à terre," vision dans le noir 36 m, Perception passive 22"," profond, commun des profondeurs", 13 (10000 PX)
406,Tyrannosaure,Bête , TG, sans alignement, 13 (armure naturelle),136 (13d12 + 52),25 (+7),10 (+0),19 (+4),2 (-4),12 (+1),9 (-1), Perception +4,,,,, Perception passive 14, —, 8 (3900 PX)
407,Ultroloth,Fiélon (yugoloth) , M, neutre mauvais, 19 (armure naturelle),153 (18d8 + 72),16 (+3),16 (+3),18 (+4),18 (+4),15 (+2),19 (+4)," Discrétion +8, Intimidation +9, Perception +7",," acide, poison"," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques"," charmé, effrayé, empoisonné"," vision véritable 36 m, Perception passive 17"," abyssal, infernal, télépathie 36 m", 13 (10000 PX)
408,Vampire,Mort-vivant (métamorphe) , M, loyal mauvais, 16 (armure naturelle),144 (17d8 + 68),18 (+4),18 (+4),18 (+4),17 (+3),15 (+2),18 (+4)," Discrétion +9, Perception +7"," Dex +9, Sag +7, Cha +9",," nécrotique ; contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 36 m, Perception passive 17", les langues qu'il connaissait de son vivant, 13 (10000 PX)
409,Vampirien,Mort-vivant , M, neutre mauvais, 15 (armure naturelle),82 (11d8 + 33),16 (+3),16 (+3),16 (+3),11 (+0),10 (+0),12 (+1)," Discrétion +6, Perception +3"," Dex +6, Sag +3",," nécrotique ; contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 13", les langues qu'il connaissait de son vivant, 5 (1800 PX)
410,Vase grise,Vase , M, sans alignement, 8,22 (3d8 + 9),12 (+1),6 (-2),16 (+3),1 (-5),6 (-2),2 (-4), Discrétion +2,,," acide, froid, feu"," aveuglé, charmé, assourdi, épuisement, effrayé, à terre"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 8", —, 1/2 (100 PX)
411,Vautour,Bête , M, sans alignement, 10,5 (1d8 + 1),7 (-2),10 (+0),13 (+1),2 (-4),12 (+1),4 (-3), Perception +3,,,,, Perception passive 13, —, 0 (10 PX)
412,Vautour géant,Bête , G, neutre mauvais, 10,22 (3d10 + 6),15 (+2),10 (+0),15 (+2),6 (-2),12 (+1),7 (-2), Perception +3,,,,, Perception passive 13, comprend le commun mais ne peut pas parler, 1 (200 PX)
413,Ver pourpre,Monstruosité , Gig, sans alignement, 18 (armure naturelle),247 (15d20 + 90),28 (+9),7 (-2),22 (+6),1 (-5),8 (-1),4 (-3),," Con +11, Sag +4",,,," vision aveugle 9 m, perception des vibrations 18 m, Perception passive 9", —, 15 (13000 PX)
414,Vétéran,Humanoïde (toute race) , M, tout alignement, 17 (clibanion),58 (9d8 + 18),16 (+3),13 (+1),14 (+2),10 (+0),11 (+0),10 (+0)," Athlétisme +5, Perception +2",,,,, Perception passive 12, une langue au choix (généralement le commun), 3 (700 PX)
415,Vrock,Fiélon (démon) , G, chaotique mauvais, 15 (armure naturelle),104 (11d10 + 44),17 (+3),15 (+2),18 (+4),8 (-1),13 (+1),8 (-1),," Dex +5, Sag +4, Cha +2", poison," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision dans le noir 36 m, Perception passive 11"," abyssal, télépathie 36 m", 6 (2300 PX)
416,Wiverne,Dragon , G, sans alignement, 13 (armure naturelle),110 (13d10 + 39),19 (+4),10 (+0),16 (+3),5 (-3),12 (+1),6 (-2), Perception +4,,,,," vision dans le noir 18 m, Perception passive 14", —, 6 (2300 PX)
417,Worg,Monstruosité , G, neutre mauvais, 13 (armure naturelle),26 (4d10 + 4),16 (+3),13 (+1),13 (+1),7 (-2),11 (+0),8 (-1), Perception +4,,,,," vision dans le noir 18 m, Perception passive 14"," gobelin, worg", 1/2 (100 PX)
418,Xorn,Élémentaire , M, neutre, 19 (armure naturelle),73 (7d8 + 42),17 (+3),10 (+0),22 (+6),11 (+0),10 (+0),11 (+0)," Discrétion +3, Perception +6",,, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium,," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 16", terreux, 5 (1800 PX)
419,Yéti,Monstruosité , G, chaotique mauvais, 12 (armure naturelle),51 (6d10 + 18),18 (+4),13 (+1),16 (+3),8 (-1),12 (+1),7 (-2)," Discrétion +3, Perception +3",, froid,,," vision dans le noir 18 m, Perception passive 13", yéti, 3 (700 PX)
420,Yéti abominable,Monstruosité , TG, chaotique mauvais, 15 (armure naturelle),137 (11d12 + 66),24 (+7),10 (+0),22 (+6),9 (-1),13 (+1),9 (-1)," Discrétion +4, Perception +5",, froid,,," vision dans le noir 18 m, Perception passive 15", yéti, 9 (5000 PX)
421,Yochlol,"Fiélon (démon, métamorphe) ", M, chaotique mauvais, 15 (armure naturelle),136 (16d8 + 64),15 (+2),14 (+2),18 (+4),13 (+1),15 (+2),15 (+2)," Intuition +6, Tromperie +10"," Dex +6, Int +5, Sag +6, Cha +6", poison," froid feu, foudre ; contondant, tranchant, et perforant d'attaques non magiques", empoisonné," vision dans le noir 36 m, Perception passive 12"," abyssal, elfique, commun des profondeurs", 10 (5900 PX)
422,"Yuan-ti, abomination","Monstruosité (métamorphe, yuan-ti) ", G, neutre mauvais, 15 (armure naturelle),127 (15d10 + 45),19 (+4),16 (+3),17 (+3),17 (+3),15 (+2),18 (+4)," Discrétion +6, Perception +5",, poison,, empoisonné," vision dans le noir 18 m, Perception passive 15"," abyssal, commun, draconique", 7 (2900 PX)
423,"Yuan-ti, malison","Monstruosité (métamorphe, yuan-ti) ", M, neutre mauvais, 12,66 (12d8 + 12),16 (+3),14 (+2),13 (+1),14 (+2),12 (+1),16 (+3)," Discrétion +4, Tromperie +5",, poison,, empoisonné," vision dans le noir 18 m, Perception passive 11"," abyssal, commun, draconique", 3 (700 PX)
424,"Yuan-ti, sang-pur",Humanoïde (yuan-ti) , M, neutre mauvais, 11,40 (9d8),11 (+0),12 (+1),11 (+0),13 (+1),12 (+1),14 (+2)," Discrétion +3, Perception +3, Tromperie +6",, poison,, empoisonné," vision dans le noir 18 m, Perception passive 13"," abyssal, commun, draconique", 1 (200 PX)
425,Zombi,Mort-vivant , M, neutre mauvais, 8,22 (3d8 + 9),13 (+1),6 (-2),16 (+3),3 (-4),6 (-2),5 (-3),, Sag +0, poison,, empoisonné," vision dans le noir 18 m, Perception passive 8", comprend les langues qu'il connaissait de son vivant mais ne peut pas parler, 1/4 (50 PX)
426,Zombi ogre,Mort-vivant , G, neutre mauvais, 8,85 (9d10 + 36),19 (+4),6 (-2),18 (+4),3 (-4),6 (-2),5 (-3),, Sag +0, poison,, empoisonné," vision dans le noir 18 m, Perception passive 8", comprend le commun et le géant mais ne peut pas parler, 2 (450 PX)
427,Zombi tyrannoeil,Mort-vivant , G, neutre mauvais, 15 (armure naturelle),93 (11d10 + 33),10 (+0),8 (-1),16 (+3),3 (-4),8 (-1),5 (-3),, Sag +2, poison,," à terre, empoisonné"," vision dans le noir 18 m, Perception passive 9", comprend le profond et le commun des profondeurs mais ne peut pas parler, 5 (1800 PX)
